Time,Lateral,Vertical,Longitudinal
0.00,-0.13528,0.99592,-0.02196
0.02,-0.13515,0.99594,-0.02190
0.04,-0.13514,0.99606,-0.02162
0.06,-0.13495,0.99603,-0.02162
0.08,-0.13509,0.99607,-0.02171
0.10,-0.13510,0.99612,-0.02160
0.12,-0.13491,0.99611,-0.02143
0.14,-0.13538,0.99613,-0.02120
0.16,-0.13486,0.99594,-0.02092
0.18,-0.13584,0.99647,-0.02087
0.20,-0.13511,0.99607,-0.02112
0.22,-0.13565,0.99647,-0.02098
0.24,-0.13534,0.99621,-0.02085
0.26,-0.13559,0.99608,-0.02126
0.28,-0.13560,0.99602,-0.02115
0.30,-0.13550,0.99603,-0.02098
0.32,-0.13570,0.99600,-0.02095
0.34,-0.13573,0.99592,-0.02093
0.36,-0.13572,0.99596,-0.02113
0.38,-0.13596,0.99580,-0.02125
0.40,-0.13513,0.99542,-0.02133
0.42,-0.13535,0.99561,-0.02126
0.44,-0.13599,0.99600,-0.02130
0.46,-0.13560,0.99635,-0.02171
0.48,-0.13561,0.99660,-0.02120
0.50,-0.13559,0.99636,-0.02133
0.52,-0.13550,0.99631,-0.02067
0.54,-0.13548,0.99607,-0.02080
0.56,-0.13573,0.99620,-0.02062
0.58,-0.13538,0.99637,-0.02032
0.60,-0.13545,0.99646,-0.02043
0.62,-0.13547,0.99640,-0.02032
0.64,-0.13609,0.99683,-0.02018
0.66,-0.13500,0.99635,-0.01998
0.68,-0.13592,0.99614,-0.01965
0.70,-0.13544,0.99587,-0.01972
0.72,-0.13552,0.99620,-0.01932
0.74,-0.13569,0.99629,-0.01990
0.76,-0.13579,0.99656,-0.01976
0.78,-0.13580,0.99682,-0.01992
0.80,-0.13600,0.99681,-0.01981
0.82,-0.13608,0.99682,-0.01952
0.84,-0.13588,0.99657,-0.01948
0.86,-0.13606,0.99660,-0.01956
0.88,-0.13611,0.99645,-0.01980
0.90,-0.13581,0.99621,-0.01996
0.92,-0.13630,0.99648,-0.02026
0.94,-0.13639,0.99679,-0.02033
0.96,-0.13617,0.99660,-0.02040
0.98,-0.13562,0.99622,-0.02045
1.00,-0.13558,0.99604,-0.02032
1.02,-0.13556,0.99611,-0.02043
1.04,-0.13608,0.99657,-0.02040
1.06,-0.13648,0.99684,-0.02061
1.08,-0.13628,0.99655,-0.02037
1.10,-0.13634,0.99666,-0.02039
1.12,-0.13632,0.99700,-0.02020
1.14,-0.13596,0.99693,-0.02003
1.16,-0.13614,0.99669,-0.02042
1.18,-0.13658,0.99678,-0.02021
1.20,-0.13718,0.99700,-0.02012
1.22,-0.13743,0.99683,-0.02033
1.24,-0.13750,0.99634,-0.02039
1.26,-0.13695,0.99597,-0.02073
1.28,-0.13663,0.99607,-0.02069
1.30,-0.13645,0.99634,-0.02096
1.32,-0.13643,0.99612,-0.02101
1.34,-0.13679,0.99589,-0.02082
1.36,-0.13711,0.99579,-0.02086
1.38,-0.13715,0.99564,-0.02072
1.40,-0.13689,0.99558,-0.02102
1.42,-0.13644,0.99580,-0.02111
1.44,-0.13616,0.99608,-0.02121
1.46,-0.13602,0.99652,-0.02124
1.48,-0.13598,0.99660,-0.02089
1.50,-0.13601,0.99652,-0.02086
1.52,-0.13615,0.99638,-0.02082
1.54,-0.13603,0.99614,-0.02048
1.56,-0.13620,0.99620,-0.02048
1.58,-0.13641,0.99615,-0.02017
1.60,-0.13637,0.99625,-0.02010
1.62,-0.13623,0.99639,-0.02015
1.64,-0.13623,0.99639,-0.02015
1.66,-0.13637,0.99624,-0.01982
1.68,-0.13630,0.99615,-0.01971
1.70,-0.13654,0.99601,-0.01975
1.72,-0.13680,0.99580,-0.01976
1.74,-0.13681,0.99576,-0.01956
1.76,-0.13660,0.99611,-0.01948
1.78,-0.13634,0.99634,-0.01975
1.80,-0.13610,0.99649,-0.02000
1.82,-0.13585,0.99639,-0.02009
1.84,-0.13596,0.99633,-0.02007
1.86,-0.13607,0.99630,-0.01996
1.88,-0.13618,0.99626,-0.02022
1.90,-0.13640,0.99619,-0.02037
1.92,-0.13632,0.99614,-0.02046
1.94,-0.13616,0.99632,-0.02033
1.96,-0.13609,0.99625,-0.02051
1.98,-0.13594,0.99611,-0.02049
2.00,-0.13595,0.99609,-0.02020
2.02,-0.13598,0.99597,-0.01998
2.04,-0.13631,0.99612,-0.01979
2.06,-0.13661,0.99608,-0.01957
2.08,-0.13675,0.99596,-0.01981
2.10,-0.13643,0.99605,-0.01986
2.12,-0.13613,0.99611,-0.02000
2.14,-0.13594,0.99642,-0.02009
2.16,-0.13588,0.99628,-0.02016
2.18,-0.13616,0.99630,-0.02004
2.20,-0.13658,0.99621,-0.02017
2.22,-0.13682,0.99605,-0.02029
2.24,-0.13672,0.99608,-0.02040
2.26,-0.13654,0.99605,-0.02069
2.28,-0.13636,0.99603,-0.02090
2.30,-0.13610,0.99623,-0.02059
2.32,-0.13627,0.99629,-0.02059
2.34,-0.13647,0.99626,-0.02057
2.36,-0.13666,0.99625,-0.02045
2.38,-0.13662,0.99608,-0.02032
2.40,-0.13639,0.99621,-0.02028
2.42,-0.13641,0.99615,-0.02054
2.44,-0.13624,0.99639,-0.02053
2.46,-0.13635,0.99634,-0.02050
2.48,-0.13624,0.99637,-0.02024
2.50,-0.13614,0.99637,-0.02015
2.52,-0.13630,0.99647,-0.01997
2.54,-0.13621,0.99646,-0.01989
2.56,-0.13615,0.99633,-0.01995
2.58,-0.13626,0.99601,-0.02015
2.60,-0.13637,0.99625,-0.02010
2.62,-0.13651,0.99612,-0.02006
2.64,-0.13634,0.99634,-0.02013
2.66,-0.13628,0.99653,-0.02009
2.68,-0.13622,0.99674,-0.02033
2.70,-0.13619,0.99654,-0.02029
2.72,-0.13637,0.99656,-0.02008
2.74,-0.13670,0.99645,-0.02050
2.76,-0.13700,0.99640,-0.02065
2.78,-0.13728,0.99670,-0.02060
2.80,-0.13692,0.99694,-0.02041
2.82,-0.13653,0.99667,-0.02057
2.84,-0.13643,0.99670,-0.02068
2.86,-0.13666,0.99685,-0.02041
2.88,-0.13676,0.99656,-0.02052
2.90,-0.13678,0.99650,-0.02041
2.92,-0.13690,0.99670,-0.02054
2.94,-0.13656,0.99658,-0.02092
2.96,-0.13635,0.99635,-0.02079
2.98,-0.13615,0.99636,-0.02053
3.00,-0.13619,0.99594,-0.02033
3.02,-0.13633,0.99580,-0.02028
3.04,-0.13629,0.99593,-0.02012
3.06,-0.13629,0.99593,-0.02012
3.08,-0.13663,0.99606,-0.02041
3.10,-0.13676,0.99626,-0.02054
3.12,-0.13625,0.99605,-0.02035
3.14,-0.13584,0.99553,-0.01998
3.16,-0.13608,0.99536,-0.01981
3.18,-0.13640,0.99555,-0.01983
3.20,-0.13675,0.99568,-0.02011
3.22,-0.13664,0.99602,-0.02021
3.24,-0.13631,0.99616,-0.02037
3.26,-0.13646,0.99630,-0.02039
3.28,-0.13627,0.99627,-0.02030
3.30,-0.13598,0.99599,-0.02026
3.32,-0.13609,0.99565,-0.02017
3.34,-0.13682,0.99577,-0.02022
3.36,-0.13737,0.99615,-0.02055
3.38,-0.13710,0.99639,-0.02044
3.40,-0.13646,0.99628,-0.02048
3.42,-0.13601,0.99621,-0.02022
3.44,-0.13602,0.99644,-0.02009
3.46,-0.13673,0.99633,-0.01990
3.48,-0.13669,0.99613,-0.01985
3.50,-0.13684,0.99597,-0.01989
3.52,-0.13673,0.99571,-0.01965
3.54,-0.13652,0.99578,-0.01950
3.56,-0.13624,0.99576,-0.01962
3.58,-0.13608,0.99596,-0.01978
3.60,-0.13612,0.99615,-0.02020
3.62,-0.13635,0.99632,-0.02022
3.64,-0.13640,0.99617,-0.02046
3.66,-0.13644,0.99576,-0.02054
3.68,-0.13635,0.99547,-0.02076
3.70,-0.13667,0.99567,-0.02078
3.72,-0.13663,0.99607,-0.02069
3.74,-0.13635,0.99665,-0.02077
3.76,-0.13609,0.99659,-0.02106
3.78,-0.13614,0.99672,-0.02099
3.80,-0.13645,0.99632,-0.02068
3.82,-0.13692,0.99632,-0.02016
3.84,-0.13701,0.99604,-0.02018
3.86,-0.13696,0.99619,-0.01994
3.88,-0.13667,0.99621,-0.01988
3.90,-0.13634,0.99662,-0.01982
3.92,-0.13625,0.99663,-0.02002
3.94,-0.13653,0.99637,-0.02021
3.96,-0.13683,0.99601,-0.02009
3.98,-0.13714,0.99595,-0.01995
4.00,-0.13716,0.99586,-0.01993
4.02,-0.13693,0.99628,-0.01996
4.04,-0.13666,0.99625,-0.02008
4.06,-0.13654,0.99631,-0.02010
4.08,-0.13677,0.99620,-0.02005
4.10,-0.13695,0.99623,-0.02014
4.12,-0.13729,0.99607,-0.02006
4.14,-0.13754,0.99589,-0.01990
4.16,-0.13753,0.99591,-0.01981
4.18,-0.13727,0.99611,-0.01989
4.20,-0.13676,0.99622,-0.01996
4.22,-0.13683,0.99631,-0.02007
4.24,-0.13684,0.99629,-0.02016
4.26,-0.13693,0.99629,-0.02025
4.28,-0.13703,0.99630,-0.02033
4.30,-0.13695,0.99657,-0.02069
4.32,-0.13708,0.99647,-0.02084
4.34,-0.13683,0.99635,-0.02065
4.36,-0.13680,0.99643,-0.02067
4.38,-0.13684,0.99661,-0.02043
4.40,-0.13700,0.99669,-0.02034
4.42,-0.13706,0.99680,-0.02036
4.44,-0.13668,0.99679,-0.02030
4.46,-0.13654,0.99691,-0.02006
4.48,-0.13662,0.99666,-0.01999
4.50,-0.13680,0.99668,-0.01979
4.52,-0.13694,0.99626,-0.01967
4.54,-0.13669,0.99641,-0.01955
4.56,-0.13680,0.99668,-0.01979
4.58,-0.13656,0.99683,-0.01966
4.60,-0.13608,0.99684,-0.01981
4.62,-0.13626,0.99687,-0.01989
4.64,-0.13660,0.99673,-0.01973
4.66,-0.13705,0.99620,-0.01965
4.68,-0.13732,0.99596,-0.01975
4.70,-0.13713,0.99627,-0.01985
4.72,-0.13663,0.99634,-0.02010
4.74,-0.13648,0.99650,-0.02006
4.76,-0.13662,0.99636,-0.02001
4.78,-0.13688,0.99612,-0.01974
4.80,-0.13720,0.99574,-0.01971
4.82,-0.13757,0.99549,-0.01961
4.84,-0.13724,0.99533,-0.01979
4.86,-0.13695,0.99565,-0.02009
4.88,-0.13667,0.99621,-0.02025
4.90,-0.13667,0.99621,-0.02025
4.92,-0.13687,0.99590,-0.02016
4.94,-0.13735,0.99586,-0.01944
4.96,-0.13729,0.99575,-0.01942
4.98,-0.13695,0.99592,-0.01949
5.00,-0.13651,0.99610,-0.01977
5.02,-0.13637,0.99625,-0.02010
5.04,-0.13653,0.99635,-0.02030
5.06,-0.13686,0.99621,-0.02014
5.08,-0.13730,0.99601,-0.01958
5.10,-0.13696,0.99590,-0.01958
5.12,-0.13652,0.99607,-0.01986
5.14,-0.13633,0.99638,-0.01995
5.16,-0.13629,0.99652,-0.02046
5.18,-0.13639,0.99651,-0.02026
5.20,-0.13680,0.99639,-0.02010
5.22,-0.13693,0.99603,-0.02047
5.24,-0.13680,0.99583,-0.02034
5.26,-0.13680,0.99583,-0.02034
5.28,-0.13669,0.99557,-0.02009
5.30,-0.13667,0.99533,-0.02022
5.32,-0.13702,0.99512,-0.01995
5.34,-0.13722,0.99479,-0.01994
5.36,-0.13701,0.99484,-0.01988
5.38,-0.13684,0.99479,-0.01988
5.40,-0.13694,0.99477,-0.02006
5.42,-0.13680,0.99463,-0.02004
5.44,-0.13688,0.99492,-0.01944
5.46,-0.13677,0.99528,-0.01945
5.48,-0.13625,0.99541,-0.01944
5.50,-0.13612,0.99583,-0.01993
5.52,-0.13610,0.99619,-0.02002
5.54,-0.13646,0.99628,-0.02010
5.56,-0.13688,0.99614,-0.02003
5.58,-0.13734,0.99590,-0.02002
5.60,-0.13724,0.99593,-0.02013
5.62,-0.13670,0.99643,-0.02021
5.64,-0.13664,0.99690,-0.02024
5.66,-0.13665,0.99659,-0.02063
5.68,-0.13687,0.99650,-0.02049
5.70,-0.13748,0.99640,-0.02050
5.72,-0.13767,0.99607,-0.02012
5.74,-0.13756,0.99583,-0.02017
5.76,-0.13708,0.99613,-0.02029
5.78,-0.13647,0.99654,-0.02026
5.80,-0.13645,0.99660,-0.02037
5.82,-0.13681,0.99637,-0.02018
5.84,-0.13744,0.99590,-0.02010
5.86,-0.13758,0.99546,-0.02007
5.88,-0.13743,0.99593,-0.02002
5.90,-0.13745,0.99618,-0.02017
5.92,-0.13713,0.99599,-0.02015
5.94,-0.13700,0.99608,-0.02038
5.96,-0.13711,0.99633,-0.02033
5.98,-0.13724,0.99623,-0.02048
6.00,-0.13742,0.99629,-0.02048
6.02,-0.13750,0.99634,-0.02039
6.04,-0.13737,0.99613,-0.02026
6.06,-0.13712,0.99603,-0.02035
6.08,-0.13697,0.99619,-0.02031
6.10,-0.13677,0.99622,-0.02034
6.12,-0.13640,0.99619,-0.02037
6.14,-0.13632,0.99642,-0.02053
6.16,-0.13666,0.99655,-0.02043
6.18,-0.13688,0.99616,-0.02031
6.20,-0.13723,0.99595,-0.02004
6.22,-0.13724,0.99593,-0.02013
6.24,-0.13676,0.99594,-0.02027
6.26,-0.13650,0.99647,-0.02052
6.28,-0.13651,0.99671,-0.02039
6.30,-0.13660,0.99646,-0.02070
6.32,-0.13716,0.99620,-0.02049
6.34,-0.13766,0.99611,-0.02032
6.36,-0.13779,0.99599,-0.02019
6.38,-0.13714,0.99593,-0.02004
6.40,-0.13652,0.99639,-0.02012
6.42,-0.13605,0.99668,-0.02033
6.44,-0.13611,0.99677,-0.02044
6.46,-0.13641,0.99675,-0.02050
6.48,-0.13665,0.99659,-0.02063
6.50,-0.13677,0.99652,-0.02069
6.52,-0.13702,0.99664,-0.02051
6.54,-0.13679,0.99675,-0.02056
6.56,-0.13650,0.99678,-0.02050
6.58,-0.13662,0.99700,-0.02055
6.60,-0.13702,0.99722,-0.02056
6.62,-0.13703,0.99690,-0.02067
6.64,-0.13720,0.99667,-0.02097
6.66,-0.13712,0.99634,-0.02100
6.68,-0.13725,0.99653,-0.02084
6.70,-0.13752,0.99627,-0.02066
6.72,-0.13756,0.99615,-0.02043
6.74,-0.13711,0.99605,-0.02064
6.76,-0.13692,0.99607,-0.02104
6.78,-0.13681,0.99615,-0.02135
6.80,-0.13653,0.99611,-0.02118
6.82,-0.13641,0.99588,-0.02114
6.84,-0.13684,0.99574,-0.02106
6.86,-0.13692,0.99576,-0.02040
6.88,-0.13701,0.99574,-0.02020
6.90,-0.13671,0.99549,-0.02007
6.92,-0.13662,0.99578,-0.01996
6.94,-0.13653,0.99607,-0.02023
6.96,-0.13674,0.99630,-0.01999
6.98,-0.13678,0.99644,-0.01955
7.00,-0.13702,0.99601,-0.01960
7.02,-0.13703,0.99597,-0.01941
7.04,-0.13728,0.99609,-0.01960
7.06,-0.13705,0.99620,-0.01965
7.08,-0.13676,0.99622,-0.01996
7.10,-0.13652,0.99668,-0.01982
7.12,-0.13652,0.99668,-0.01982
7.14,-0.13622,0.99640,-0.01978
7.16,-0.13652,0.99636,-0.01955
7.18,-0.13658,0.99647,-0.01957
7.20,-0.13656,0.99625,-0.01962
7.22,-0.13640,0.99643,-0.01949
7.24,-0.13649,0.99646,-0.01986
7.26,-0.13632,0.99640,-0.01986
7.28,-0.13632,0.99640,-0.01986
7.30,-0.13650,0.99614,-0.01997
7.32,-0.13686,0.99593,-0.02007
7.34,-0.13682,0.99603,-0.02001
7.36,-0.13685,0.99627,-0.02025
7.38,-0.13673,0.99632,-0.02027
7.40,-0.13652,0.99611,-0.02043
7.42,-0.13650,0.99616,-0.02026
7.44,-0.13663,0.99634,-0.02010
7.46,-0.13665,0.99629,-0.02028
7.48,-0.13648,0.99622,-0.02037
7.50,-0.13675,0.99630,-0.02074
7.52,-0.13677,0.99654,-0.02061
7.54,-0.13688,0.99648,-0.02058
7.56,-0.13696,0.99653,-0.02049
7.58,-0.13671,0.99641,-0.02030
7.60,-0.13630,0.99648,-0.02026
7.62,-0.13657,0.99683,-0.02004
7.64,-0.13697,0.99677,-0.01999
7.66,-0.13710,0.99637,-0.02016
7.68,-0.13715,0.99651,-0.02009
7.70,-0.13733,0.99682,-0.01987
7.72,-0.13712,0.99685,-0.01952
7.74,-0.13694,0.99682,-0.01944
7.76,-0.13674,0.99687,-0.01975
7.78,-0.13685,0.99653,-0.02003
7.80,-0.13697,0.99677,-0.01999
7.82,-0.13722,0.99688,-0.01989
7.84,-0.13686,0.99651,-0.02012
7.86,-0.13664,0.99634,-0.02047
7.88,-0.13682,0.99665,-0.02025
7.90,-0.13678,0.99648,-0.02012
7.92,-0.13667,0.99623,-0.02016
7.94,-0.13653,0.99637,-0.02021
7.96,-0.13642,0.99643,-0.02061
7.98,-0.13640,0.99647,-0.02044
8.00,-0.13642,0.99671,-0.02031
8.02,-0.13664,0.99634,-0.02047
8.04,-0.13666,0.99597,-0.02076
8.06,-0.13690,0.99612,-0.02049
8.08,-0.13676,0.99624,-0.02025
8.10,-0.13619,0.99624,-0.02031
8.12,-0.13594,0.99639,-0.02018
8.14,-0.13575,0.99640,-0.02029
8.16,-0.13586,0.99608,-0.02049
8.18,-0.13622,0.99613,-0.02037
8.20,-0.13629,0.99590,-0.02021
8.22,-0.13617,0.99540,-0.02048
8.24,-0.13619,0.99564,-0.02034
8.26,-0.13618,0.99566,-0.02026
8.28,-0.13608,0.99569,-0.02037
8.30,-0.13602,0.99588,-0.02033
8.32,-0.13609,0.99595,-0.02053
8.34,-0.13620,0.99591,-0.02079
8.36,-0.13666,0.99597,-0.02076
8.38,-0.13689,0.99586,-0.02071
8.40,-0.13716,0.99560,-0.02052
8.42,-0.13710,0.99551,-0.02079
8.44,-0.13700,0.99610,-0.02066
8.46,-0.13656,0.99630,-0.02085
8.48,-0.13613,0.99674,-0.02091
8.50,-0.13610,0.99683,-0.02093
8.52,-0.13635,0.99667,-0.02106
8.54,-0.13672,0.99638,-0.02076
8.56,-0.13719,0.99610,-0.02055
8.58,-0.13706,0.99591,-0.02071
8.60,-0.13703,0.99630,-0.02071
8.62,-0.13636,0.99663,-0.02086
8.64,-0.13606,0.99694,-0.02049
8.66,-0.13597,0.99691,-0.02049
8.68,-0.13668,0.99679,-0.02030
8.70,-0.13722,0.99598,-0.01995
8.72,-0.13734,0.99562,-0.01995
8.74,-0.13731,0.99600,-0.01995
8.76,-0.13695,0.99623,-0.02014
8.78,-0.13660,0.99644,-0.02041
8.80,-0.13678,0.99648,-0.02012
8.82,-0.13655,0.99629,-0.01981
8.84,-0.13668,0.99617,-0.01968
8.86,-0.13673,0.99603,-0.01992
8.88,-0.13681,0.99605,-0.01992
8.90,-0.13648,0.99562,-0.02003
8.92,-0.13649,0.99590,-0.02010
8.94,-0.13665,0.99598,-0.02001
8.96,-0.13655,0.99569,-0.01985
8.98,-0.13654,0.99573,-0.02005
9.00,-0.13623,0.99580,-0.01982
9.02,-0.13581,0.99591,-0.01998
9.04,-0.13605,0.99606,-0.02009
9.06,-0.13639,0.99589,-0.02001
9.08,-0.13697,0.99557,-0.02006
9.10,-0.13725,0.99529,-0.01997
9.12,-0.13724,0.99561,-0.01986
9.14,-0.13717,0.99584,-0.02002
9.16,-0.13686,0.99621,-0.02014
9.18,-0.13666,0.99627,-0.02036
9.20,-0.13680,0.99611,-0.02040
9.22,-0.13713,0.99597,-0.02024
9.24,-0.13744,0.99590,-0.02010
9.26,-0.13756,0.99585,-0.02045
9.28,-0.13760,0.99602,-0.02059
9.30,-0.13715,0.99622,-0.02040
9.32,-0.13702,0.99634,-0.02053
9.34,-0.13704,0.99626,-0.02051
9.36,-0.13675,0.99628,-0.02045
9.38,-0.13684,0.99603,-0.02076
9.40,-0.13707,0.99589,-0.02079
9.42,-0.13686,0.99596,-0.02064
9.44,-0.13697,0.99593,-0.02091
9.46,-0.13700,0.99612,-0.02095
9.48,-0.13675,0.99598,-0.02047
9.50,-0.13642,0.99583,-0.02028
9.52,-0.13646,0.99630,-0.02039
9.54,-0.13635,0.99662,-0.02020
9.56,-0.13631,0.99674,-0.02042
9.58,-0.13655,0.99661,-0.02046
9.60,-0.13679,0.99642,-0.02001
9.62,-0.13702,0.99630,-0.01996
9.64,-0.13722,0.99626,-0.01965
9.66,-0.13684,0.99657,-0.01986
9.68,-0.13636,0.99658,-0.02000
9.70,-0.13616,0.99692,-0.02029
9.72,-0.13656,0.99689,-0.02053
9.74,-0.13682,0.99635,-0.02027
9.76,-0.13718,0.99582,-0.02011
9.78,-0.13723,0.99565,-0.02006
9.80,-0.13720,0.99578,-0.02028
9.82,-0.13693,0.99601,-0.02055
9.84,-0.13639,0.99623,-0.02057
9.86,-0.13625,0.99637,-0.02099
9.88,-0.13665,0.99631,-0.02094
9.90,-0.13731,0.99604,-0.02090
9.92,-0.13768,0.99547,-0.02054
9.94,-0.13763,0.99531,-0.02032
9.96,-0.13719,0.99554,-0.02079
9.98,-0.13662,0.99613,-0.02118
10.00,-0.13631,0.99678,-0.02099
10.02,-0.13647,0.99688,-0.02081
10.04,-0.13677,0.99624,-0.02063
10.06,-0.13737,0.99585,-0.02057
10.08,-0.13774,0.99586,-0.02025
10.10,-0.13737,0.99581,-0.01999
10.12,-0.13682,0.99603,-0.02001
10.14,-0.13639,0.99651,-0.02026
10.16,-0.13627,0.99687,-0.02027
10.18,-0.13653,0.99665,-0.01991
10.20,-0.13705,0.99652,-0.01992
10.22,-0.13760,0.99570,-0.01994
10.24,-0.13723,0.99597,-0.02033
10.26,-0.13659,0.99616,-0.01997
10.28,-0.13625,0.99693,-0.02000
10.30,-0.13626,0.99719,-0.02016
10.32,-0.13665,0.99716,-0.02002
10.34,-0.13721,0.99722,-0.02045
10.36,-0.13780,0.99718,-0.02020
10.38,-0.13781,0.99685,-0.02030
10.40,-0.13791,0.99684,-0.02048
10.42,-0.13789,0.99688,-0.02030
10.44,-0.13768,0.99723,-0.02022
10.46,-0.13815,0.99696,-0.02030
10.48,-0.13885,0.99778,-0.02100
10.50,-0.13832,0.99704,-0.02058
10.52,-0.13775,0.99646,-0.02059
10.54,-0.13770,0.99629,-0.02008
10.56,-0.13758,0.99605,-0.01975
10.58,-0.13765,0.99585,-0.02017
10.60,-0.13803,0.99618,-0.02049
10.62,-0.13755,0.99647,-0.02033
10.64,-0.13695,0.99593,-0.02016
10.66,-0.13682,0.99605,-0.02029
10.68,-0.13643,0.99605,-0.01986
10.70,-0.13609,0.99562,-0.01960
10.72,-0.13676,0.99592,-0.01998
10.74,-0.13714,0.99621,-0.01974
10.76,-0.13670,0.99583,-0.02025
10.78,-0.13640,0.99589,-0.02039
10.80,-0.13602,0.99644,-0.02009
10.82,-0.13537,0.99640,-0.01986
10.84,-0.13582,0.99619,-0.02005
10.86,-0.13632,0.99642,-0.02015
10.88,-0.13662,0.99638,-0.02030
10.90,-0.13684,0.99631,-0.02045
10.92,-0.13697,0.99647,-0.02038
10.94,-0.13686,0.99652,-0.02041
10.96,-0.13649,0.99650,-0.02043
10.98,-0.13680,0.99703,-0.02063
11.00,-0.13681,0.99699,-0.02043
11.02,-0.13688,0.99648,-0.02058
11.04,-0.13744,0.99650,-0.02044
11.06,-0.13740,0.99663,-0.02029
11.08,-0.13703,0.99660,-0.02069
11.10,-0.13646,0.99658,-0.02046
11.12,-0.13631,0.99648,-0.02064
11.14,-0.13622,0.99613,-0.02037
11.16,-0.13632,0.99582,-0.02019
11.18,-0.13677,0.99562,-0.02038
11.20,-0.13662,0.99550,-0.02027
11.22,-0.13659,0.99558,-0.02029
11.24,-0.13619,0.99562,-0.02006
11.26,-0.13580,0.99565,-0.02020
11.28,-0.13601,0.99560,-0.02026
11.30,-0.13663,0.99546,-0.02007
11.32,-0.13695,0.99535,-0.02011
11.34,-0.13680,0.99520,-0.01943
11.36,-0.13677,0.99558,-0.01943
11.38,-0.13733,0.99622,-0.01991
11.40,-0.13779,0.99722,-0.02039
11.42,-0.13799,0.99688,-0.02076
11.44,-0.13760,0.99602,-0.02059
11.46,-0.13746,0.99586,-0.02065
11.48,-0.13724,0.99625,-0.02040
11.50,-0.13746,0.99616,-0.02063
11.52,-0.13758,0.99610,-0.02098
11.54,-0.13723,0.99599,-0.02062
11.56,-0.13725,0.99591,-0.02059
11.58,-0.13718,0.99588,-0.02097
11.60,-0.13647,0.99568,-0.02052
11.62,-0.13602,0.99494,-0.01981
11.64,-0.13617,0.99476,-0.01957
11.66,-0.13666,0.99536,-0.01976
11.68,-0.13733,0.99594,-0.01984
11.70,-0.13761,0.99566,-0.02012
11.72,-0.13696,0.99563,-0.02018
11.74,-0.13643,0.99577,-0.01979
11.76,-0.13692,0.99602,-0.01980
11.78,-0.13705,0.99624,-0.02022
11.80,-0.13724,0.99595,-0.02042
11.82,-0.13735,0.99621,-0.02066
11.84,-0.13700,0.99580,-0.02031
11.86,-0.13665,0.99599,-0.02030
11.88,-0.13664,0.99603,-0.02049
11.90,-0.13628,0.99623,-0.01973
11.92,-0.13660,0.99642,-0.02012
11.94,-0.13676,0.99566,-0.02020
11.96,-0.13669,0.99527,-0.02011
11.98,-0.13662,0.99578,-0.01996
12.00,-0.13673,0.99601,-0.01963
12.02,-0.13665,0.99596,-0.01972
12.04,-0.13627,0.99535,-0.01970
12.06,-0.13631,0.99556,-0.02041
12.08,-0.13646,0.99568,-0.02014
12.10,-0.13669,0.99613,-0.01985
12.12,-0.13731,0.99574,-0.02055
12.14,-0.13702,0.99482,-0.01997
12.16,-0.13680,0.99549,-0.01978
12.18,-0.13676,0.99650,-0.01966
12.20,-0.13663,0.99604,-0.02012
12.22,-0.13635,0.99576,-0.02045
12.24,-0.13637,0.99567,-0.02043
12.26,-0.13679,0.99585,-0.02025
12.28,-0.13708,0.99581,-0.02002
12.30,-0.13702,0.99602,-0.02027
12.32,-0.13669,0.99587,-0.02007
12.34,-0.13604,0.99552,-0.02024
12.36,-0.13588,0.99602,-0.02038
12.38,-0.13618,0.99626,-0.02022
12.40,-0.13636,0.99599,-0.02032
12.42,-0.13648,0.99594,-0.02030
12.44,-0.13679,0.99616,-0.02023
12.46,-0.13662,0.99636,-0.02001
12.48,-0.13643,0.99637,-0.02013
12.50,-0.13623,0.99670,-0.02013
12.52,-0.13627,0.99657,-0.02028
12.54,-0.13653,0.99667,-0.02057
12.56,-0.13667,0.99683,-0.02050
12.58,-0.13660,0.99674,-0.02039
12.60,-0.13638,0.99683,-0.02053
12.62,-0.13659,0.99676,-0.02030
12.64,-0.13648,0.99652,-0.02035
12.66,-0.13632,0.99642,-0.02053
12.68,-0.13635,0.99664,-0.02048
12.70,-0.13651,0.99645,-0.02061
12.72,-0.13678,0.99619,-0.02080
12.74,-0.13697,0.99651,-0.02058
12.76,-0.13668,0.99619,-0.02034
12.78,-0.13666,0.99625,-0.02045
12.80,-0.13685,0.99656,-0.02061
12.82,-0.13703,0.99632,-0.02062
12.84,-0.13703,0.99604,-0.02093
12.86,-0.13735,0.99593,-0.02097
12.88,-0.13763,0.99593,-0.02094
12.90,-0.13775,0.99558,-0.02093
12.92,-0.13761,0.99571,-0.02098
12.94,-0.13709,0.99583,-0.02068
12.96,-0.13650,0.99557,-0.02058
12.98,-0.13670,0.99556,-0.02084
13.00,-0.13684,0.99540,-0.02051
13.02,-0.13703,0.99512,-0.02032
13.04,-0.13690,0.99520,-0.01989
13.06,-0.13644,0.99514,-0.01992
13.08,-0.13586,0.99545,-0.01995
13.10,-0.13556,0.99551,-0.02009
13.12,-0.13554,0.99587,-0.02018
13.14,-0.13545,0.99586,-0.02010
13.16,-0.13580,0.99567,-0.02048
13.18,-0.13605,0.99549,-0.02070
13.20,-0.13596,0.99547,-0.02033
13.22,-0.13593,0.99555,-0.02035
13.24,-0.13563,0.99560,-0.02020
13.26,-0.13564,0.99585,-0.02036
13.28,-0.13562,0.99624,-0.02036
