Time,Lateral,Vertical,Longitudinal
0.00,-0.05933,0.99234,-0.10378
0.02,-0.05894,0.99258,-0.10428
0.04,-0.05944,0.99214,-0.10442
0.06,-0.05902,0.99224,-0.10416
0.08,-0.05958,0.99231,-0.10414
0.10,-0.05951,0.99227,-0.10439
0.12,-0.05862,0.99244,-0.10471
0.14,-0.05930,0.99245,-0.10452
0.16,-0.05972,0.99225,-0.10457
0.18,-0.06153,0.99142,-0.10439
0.20,-0.06221,0.99167,-0.10396
0.22,-0.06282,0.99169,-0.10395
0.24,-0.06211,0.99195,-0.10373
0.26,-0.06173,0.99245,-0.10364
0.28,-0.06271,0.99220,-0.10358
0.30,-0.06291,0.99222,-0.10348
0.32,-0.06349,0.99197,-0.10334
0.34,-0.06337,0.99193,-0.10333
0.36,-0.06240,0.99194,-0.10363
0.38,-0.06149,0.99234,-0.10381
0.40,-0.06035,0.99262,-0.10416
0.42,-0.06019,0.99250,-0.10414
0.44,-0.06089,0.99228,-0.10409
0.46,-0.06139,0.99202,-0.10422
0.48,-0.06134,0.99214,-0.10424
0.50,-0.06180,0.99184,-0.10409
0.52,-0.06205,0.99150,-0.10421
0.54,-0.06147,0.99201,-0.10403
0.56,-0.06143,0.99191,-0.10411
0.58,-0.06183,0.99216,-0.10396
0.60,-0.06186,0.99227,-0.10379
0.62,-0.06169,0.99257,-0.10366
0.64,-0.06210,0.99237,-0.10371
0.66,-0.06250,0.99260,-0.10365
0.68,-0.06250,0.99241,-0.10352
0.70,-0.06251,0.99221,-0.10349
0.72,-0.06168,0.99277,-0.10369
0.74,-0.06132,0.99283,-0.10380
0.76,-0.06173,0.99242,-0.10382
0.78,-0.06189,0.99261,-0.10348
0.80,-0.06161,0.99243,-0.10355
0.82,-0.06153,0.99225,-0.10361
0.84,-0.06174,0.99204,-0.10366
0.86,-0.06125,0.99224,-0.10389
0.88,-0.06102,0.99212,-0.10406
0.90,-0.06167,0.99203,-0.10394
0.92,-0.06204,0.99178,-0.10380
0.94,-0.06208,0.99183,-0.10399
0.96,-0.06211,0.99194,-0.10382
0.98,-0.06235,0.99206,-0.10365
1.00,-0.06284,0.99184,-0.10351
1.02,-0.06318,0.99165,-0.10375
1.04,-0.06245,0.99171,-0.10424
1.06,-0.06151,0.99186,-0.10419
1.08,-0.06126,0.99216,-0.10434
1.10,-0.06151,0.99186,-0.10419
1.12,-0.06172,0.99187,-0.10419
1.14,-0.06176,0.99193,-0.10429
1.16,-0.06140,0.99177,-0.10445
1.18,-0.06098,0.99199,-0.10431
1.20,-0.06062,0.99183,-0.10448
1.22,-0.06025,0.99224,-0.10492
1.24,-0.06086,0.99227,-0.10483
1.26,-0.06204,0.99190,-0.10428
1.28,-0.06240,0.99188,-0.10399
1.30,-0.06187,0.99205,-0.10385
1.32,-0.06130,0.99229,-0.10408
1.34,-0.06109,0.99227,-0.10417
1.36,-0.06138,0.99240,-0.10438
1.38,-0.06174,0.99239,-0.10400
1.40,-0.06183,0.99230,-0.10435
1.42,-0.06232,0.99224,-0.10451
1.44,-0.06269,0.99197,-0.10446
1.46,-0.06208,0.99198,-0.10429
1.48,-0.06130,0.99243,-0.10447
1.50,-0.06163,0.99224,-0.10462
1.52,-0.06209,0.99174,-0.10453
1.54,-0.06171,0.99221,-0.10461
1.56,-0.06134,0.99229,-0.10454
1.58,-0.06094,0.99230,-0.10446
1.60,-0.06139,0.99216,-0.10461
1.62,-0.06205,0.99187,-0.10446
1.64,-0.06215,0.99219,-0.10405
1.66,-0.06253,0.99189,-0.10417
1.68,-0.06281,0.99189,-0.10398
1.70,-0.06289,0.99183,-0.10407
1.72,-0.06257,0.99193,-0.10446
1.74,-0.06226,0.99180,-0.10490
1.76,-0.06210,0.99166,-0.10497
1.78,-0.06161,0.99183,-0.10538
1.80,-0.06146,0.99147,-0.10551
1.82,-0.06113,0.99165,-0.10536
1.84,-0.06087,0.99200,-0.10524
1.86,-0.06129,0.99178,-0.10538
1.88,-0.06178,0.99160,-0.10506
1.90,-0.06242,0.99171,-0.10498
1.92,-0.06299,0.99169,-0.10469
1.94,-0.06327,0.99170,-0.10441
1.96,-0.06459,0.99210,-0.10371
1.98,-0.06594,0.99165,-0.10314
2.00,-0.06644,0.99168,-0.10406
2.02,-0.06494,0.99193,-0.10505
2.04,-0.06266,0.99231,-0.10563
2.06,-0.06124,0.99244,-0.10586
2.08,-0.06010,0.99255,-0.10599
2.10,-0.05997,0.99274,-0.10584
2.12,-0.06030,0.99254,-0.10608
2.14,-0.06068,0.99206,-0.10608
2.16,-0.06107,0.99253,-0.10579
2.18,-0.06087,0.99231,-0.10585
2.20,-0.06149,0.99214,-0.10571
2.22,-0.06228,0.99217,-0.10441
2.24,-0.06361,0.99200,-0.10343
2.26,-0.06488,0.99154,-0.10315
2.28,-0.06460,0.99150,-0.10361
2.30,-0.06301,0.99192,-0.10380
2.32,-0.06081,0.99247,-0.10440
2.34,-0.05958,0.99265,-0.10436
2.36,-0.05974,0.99280,-0.10420
2.38,-0.06024,0.99215,-0.10426
2.40,-0.05996,0.99235,-0.10449
2.42,-0.05886,0.99251,-0.10481
2.44,-0.05866,0.99251,-0.10482
2.46,-0.05913,0.99273,-0.10457
2.48,-0.05975,0.99251,-0.10470
2.50,-0.06048,0.99225,-0.10418
2.52,-0.06182,0.99234,-0.10408
2.54,-0.06297,0.99181,-0.10397
2.56,-0.06311,0.99161,-0.10421
2.58,-0.06245,0.99190,-0.10436
2.60,-0.06155,0.99210,-0.10451
2.62,-0.06122,0.99226,-0.10445
2.64,-0.06138,0.99239,-0.10447
2.66,-0.06130,0.99221,-0.10453
2.68,-0.06135,0.99208,-0.10460
2.70,-0.06162,0.99229,-0.10435
2.72,-0.06223,0.99252,-0.10429
2.74,-0.06285,0.99195,-0.10409
2.76,-0.06324,0.99224,-0.10367
2.78,-0.06345,0.99225,-0.10366
2.80,-0.06316,0.99248,-0.10371
2.82,-0.06283,0.99258,-0.10401
2.84,-0.06272,0.99228,-0.10433
2.86,-0.06294,0.99204,-0.10456
2.88,-0.06326,0.99213,-0.10429
2.90,-0.06365,0.99239,-0.10405
2.92,-0.06414,0.99238,-0.10395
2.94,-0.06443,0.99213,-0.10399
2.96,-0.06481,0.99183,-0.10412
2.98,-0.06493,0.99185,-0.10430
3.00,-0.06436,0.99211,-0.10436
3.02,-0.06359,0.99191,-0.10471
3.04,-0.06282,0.99215,-0.10486
3.06,-0.06240,0.99257,-0.10475
3.08,-0.06248,0.99235,-0.10462
3.10,-0.06335,0.99184,-0.10461
3.12,-0.06383,0.99189,-0.10415
3.14,-0.06288,0.99227,-0.10395
3.16,-0.06223,0.99238,-0.10389
3.18,-0.06230,0.99253,-0.10401
3.20,-0.06248,0.99208,-0.10375
3.22,-0.06293,0.99198,-0.10372
3.24,-0.06333,0.99203,-0.10344
3.26,-0.06406,0.99171,-0.10328
3.28,-0.06457,0.99109,-0.10308
3.30,-0.06386,0.99087,-0.10407
3.32,-0.06224,0.99002,-0.10589
3.34,-0.06037,0.98991,-0.10582
3.36,-0.05940,0.99098,-0.10519
3.38,-0.05897,0.99161,-0.10503
3.40,-0.06118,0.99170,-0.10362
3.42,-0.06406,0.99157,-0.10289
3.44,-0.06902,0.99055,-0.10087
3.46,-0.07180,0.99097,-0.09950
3.48,-0.07223,0.99097,-0.09885
3.50,-0.07138,0.99207,-0.09831
3.52,-0.06977,0.99365,-0.09704
3.54,-0.06819,0.99537,-0.09543
3.56,-0.06809,0.99534,-0.09653
3.58,-0.06949,0.99362,-0.09741
3.60,-0.07068,0.99302,-0.09701
3.62,-0.06812,0.99359,-0.09789
3.64,-0.06688,0.99366,-0.09922
3.66,-0.06537,0.99328,-0.10103
3.68,-0.06432,0.99226,-0.10226
3.70,-0.06563,0.99201,-0.10247
3.72,-0.06976,0.99086,-0.10183
3.74,-0.07503,0.98941,-0.10093
3.76,-0.07768,0.98913,-0.10055
3.78,-0.07660,0.98990,-0.10024
3.80,-0.07459,0.99069,-0.10060
3.82,-0.07237,0.99154,-0.10060
3.84,-0.06889,0.99477,-0.10223
3.86,-0.06503,0.99367,-0.10083
3.88,-0.06479,0.99393,-0.10124
3.90,-0.06689,0.99388,-0.10037
3.92,-0.06615,0.99252,-0.10024
3.94,-0.06287,0.99413,-0.10122
3.96,-0.05727,0.99516,-0.10381
3.98,-0.05255,0.99515,-0.10391
4.00,-0.05132,0.99486,-0.10296
4.02,-0.05311,0.99421,-0.10171
4.04,-0.05590,0.99299,-0.10108
4.06,-0.05948,0.98929,-0.09956
4.08,-0.06169,0.99050,-0.10008
4.10,-0.05861,0.99116,-0.09934
4.12,-0.05416,0.99222,-0.10025
4.14,-0.05220,0.99405,-0.10032
4.16,-0.05118,0.99234,-0.10005
4.18,-0.05254,0.99239,-0.09828
4.20,-0.05579,0.99198,-0.09750
4.22,-0.05935,0.99118,-0.09766
4.24,-0.05887,0.99117,-0.09786
4.26,-0.05584,0.99210,-0.09853
4.28,-0.05193,0.99266,-0.09898
4.30,-0.04871,0.99303,-0.09929
4.32,-0.04724,0.99329,-0.09946
4.34,-0.04885,0.99213,-0.09877
4.36,-0.05068,0.99184,-0.09832
4.38,-0.05131,0.99277,-0.09827
4.40,-0.05082,0.99244,-0.09795
4.42,-0.05006,0.99256,-0.09882
4.44,-0.04842,0.99194,-0.09930
4.46,-0.04863,0.99172,-0.09944
4.48,-0.04958,0.99318,-0.10022
4.50,-0.04968,0.99402,-0.10036
4.52,-0.05091,0.99346,-0.10024
4.54,-0.05320,0.99266,-0.09969
4.56,-0.05282,0.99347,-0.10021
4.58,-0.05136,0.99372,-0.10046
4.60,-0.05114,0.99297,-0.10071
4.62,-0.05135,0.99273,-0.10094
4.64,-0.05154,0.99314,-0.10101
4.66,-0.05166,0.99452,-0.10087
4.68,-0.05052,0.99498,-0.10143
4.70,-0.05069,0.99285,-0.10088
4.72,-0.05301,0.99106,-0.10008
4.74,-0.05327,0.99183,-0.10020
4.76,-0.05177,0.99335,-0.10030
4.78,-0.05005,0.99411,-0.10065
4.80,-0.04858,0.99433,-0.10108
4.82,-0.04884,0.99398,-0.10120
4.84,-0.04921,0.99388,-0.10136
4.86,-0.04982,0.99372,-0.10123
4.88,-0.05053,0.99308,-0.10120
4.90,-0.05154,0.99335,-0.10095
4.92,-0.05118,0.99319,-0.10112
4.94,-0.05116,0.99378,-0.10131
4.96,-0.05023,0.99388,-0.10153
4.98,-0.04787,0.99429,-0.10220
5.00,-0.04616,0.99410,-0.10210
5.02,-0.04790,0.99262,-0.10108
5.04,-0.04961,0.99274,-0.10162
5.06,-0.04965,0.99300,-0.10176
5.08,-0.04969,0.99324,-0.10208
5.10,-0.05038,0.99333,-0.10263
5.12,-0.05199,0.99266,-0.10267
5.14,-0.05418,0.99250,-0.10223
5.16,-0.05508,0.99247,-0.10230
5.18,-0.05569,0.99249,-0.10229
5.20,-0.05674,0.99163,-0.10268
5.22,-0.05870,0.99113,-0.10246
5.24,-0.06007,0.99197,-0.10332
5.26,-0.06048,0.99147,-0.10267
5.28,-0.06229,0.99086,-0.10244
5.30,-0.06269,0.99059,-0.10165
5.32,-0.06067,0.99081,-0.10053
5.34,-0.05713,0.99174,-0.10204
5.36,-0.05430,0.99287,-0.10275
5.38,-0.05299,0.99379,-0.10348
5.40,-0.05138,0.99275,-0.10325
5.42,-0.04976,0.99255,-0.10297
5.44,-0.04748,0.99244,-0.10281
5.46,-0.04465,0.99346,-0.10295
5.48,-0.03962,0.99464,-0.10352
5.50,-0.03589,0.99403,-0.10313
5.52,-0.03493,0.99295,-0.10453
5.54,-0.03480,0.99178,-0.10461
5.56,-0.03603,0.99300,-0.10221
5.58,-0.03507,0.99274,-0.10284
5.60,-0.03349,0.99188,-0.10208
5.62,-0.03431,0.99303,-0.10198
5.64,-0.03543,0.99361,-0.10141
5.66,-0.03607,0.99404,-0.10193
5.68,-0.03609,0.99325,-0.10170
5.70,-0.03707,0.99301,-0.10155
5.72,-0.03708,0.99428,-0.10186
5.74,-0.03549,0.99557,-0.10109
5.76,-0.03514,0.99683,-0.10186
5.78,-0.03338,0.99492,-0.10314
5.80,-0.03375,0.99435,-0.10239
5.82,-0.03538,0.99440,-0.10237
5.84,-0.03551,0.99404,-0.10231
5.86,-0.03613,0.99381,-0.10253
5.88,-0.03780,0.99341,-0.10197
5.90,-0.03858,0.99334,-0.10204
5.92,-0.03872,0.99357,-0.10143
5.94,-0.03930,0.99366,-0.10171
5.96,-0.03998,0.99368,-0.10142
5.98,-0.03974,0.99358,-0.10150
6.00,-0.04079,0.99377,-0.10105
6.02,-0.04213,0.99364,-0.10100
6.04,-0.04246,0.99332,-0.10076
6.06,-0.04327,0.99337,-0.10057
6.08,-0.04352,0.99326,-0.10054
6.10,-0.04320,0.99320,-0.10063
6.12,-0.04241,0.99369,-0.10054
6.14,-0.04184,0.99389,-0.10096
6.16,-0.04190,0.99350,-0.10135
6.18,-0.04235,0.99317,-0.10138
6.20,-0.04297,0.99300,-0.10125
6.22,-0.04374,0.99292,-0.10140
6.24,-0.04275,0.99341,-0.10123
6.26,-0.04149,0.99366,-0.10157
6.28,-0.04028,0.99372,-0.10225
6.30,-0.04004,0.99361,-0.10233
6.32,-0.03964,0.99334,-0.10266
6.34,-0.03938,0.99305,-0.10336
6.36,-0.03912,0.99338,-0.10332
6.38,-0.03767,0.99439,-0.10325
6.40,-0.03724,0.99402,-0.10365
6.42,-0.03803,0.99369,-0.10404
6.44,-0.03741,0.99389,-0.10400
6.46,-0.03709,0.99398,-0.10439
6.48,-0.03827,0.99413,-0.10439
6.50,-0.04062,0.99391,-0.10384
6.52,-0.04238,0.99360,-0.10376
6.54,-0.04457,0.99382,-0.10347
6.56,-0.04729,0.99335,-0.10279
6.58,-0.05086,0.99219,-0.10261
6.60,-0.05405,0.99172,-0.10247
6.62,-0.05553,0.99216,-0.10224
6.64,-0.05596,0.99255,-0.10174
6.66,-0.05648,0.99283,-0.10159
6.68,-0.05872,0.99271,-0.10144
6.70,-0.05925,0.99173,-0.10218
6.72,-0.05739,0.99183,-0.10325
6.74,-0.05528,0.99229,-0.10411
6.76,-0.05341,0.99243,-0.10500
6.78,-0.05253,0.99255,-0.10559
6.80,-0.05277,0.99262,-0.10569
6.82,-0.05445,0.99198,-0.10536
6.84,-0.05618,0.99136,-0.10541
6.86,-0.05766,0.99085,-0.10548
6.88,-0.05885,0.99037,-0.10556
6.90,-0.05838,0.98993,-0.10586
6.92,-0.05993,0.99051,-0.10464
6.94,-0.06129,0.99065,-0.10353
6.96,-0.05931,0.99179,-0.10358
6.98,-0.05669,0.99238,-0.10382
7.00,-0.05511,0.99208,-0.10343
7.02,-0.05270,0.99158,-0.10478
7.04,-0.04860,0.99222,-0.10598
7.06,-0.04394,0.99318,-0.10624
7.08,-0.04002,0.99376,-0.10660
7.10,-0.03820,0.99366,-0.10689
7.12,-0.03772,0.99327,-0.10693
7.14,-0.03469,0.99322,-0.10800
7.16,-0.03332,0.99282,-0.10823
7.18,-0.03643,0.99044,-0.10814
7.20,-0.04109,0.98935,-0.10749
7.22,-0.03675,0.99337,-0.10475
7.24,-0.02937,0.99359,-0.10429
7.26,-0.02745,0.99396,-0.10448
7.28,-0.02665,0.99371,-0.10464
7.30,-0.02767,0.99341,-0.10411
7.32,-0.02791,0.99333,-0.10391
7.34,-0.02540,0.99426,-0.10365
7.36,-0.02391,0.99483,-0.10322
7.38,-0.02253,0.99503,-0.10356
7.40,-0.02066,0.99611,-0.10295
7.42,-0.01779,0.99657,-0.10226
7.44,-0.02121,0.99322,-0.10476
7.46,-0.02674,0.99449,-0.10394
7.48,-0.02759,0.99415,-0.10294
7.50,-0.02840,0.99400,-0.10272
7.52,-0.02811,0.99403,-0.10273
7.54,-0.02756,0.99360,-0.10322
7.56,-0.02914,0.99386,-0.10268
7.58,-0.02915,0.99429,-0.10183
7.60,-0.02984,0.99447,-0.10185
7.62,-0.03126,0.99454,-0.10165
7.64,-0.03185,0.99415,-0.10231
7.66,-0.03353,0.99345,-0.10234
7.68,-0.03572,0.99235,-0.10211
7.70,-0.03676,0.99255,-0.10157
7.72,-0.03675,0.99310,-0.10194
7.74,-0.03704,0.99323,-0.10223
7.76,-0.03674,0.99355,-0.10174
7.78,-0.03540,0.99341,-0.10211
7.80,-0.03506,0.99310,-0.10317
7.82,-0.03404,0.99330,-0.10304
7.84,-0.03246,0.99345,-0.10365
7.86,-0.03294,0.99344,-0.10355
7.88,-0.03388,0.99350,-0.10354
7.90,-0.03318,0.99371,-0.10368
7.92,-0.03234,0.99370,-0.10434
7.94,-0.03247,0.99337,-0.10410
7.96,-0.03169,0.99359,-0.10443
7.98,-0.03247,0.99351,-0.10449
8.00,-0.03463,0.99304,-0.10419
8.02,-0.03643,0.99283,-0.10402
8.04,-0.03745,0.99262,-0.10415
8.06,-0.03754,0.99240,-0.10402
8.08,-0.03716,0.99272,-0.10380
8.10,-0.03630,0.99286,-0.10357
8.12,-0.03543,0.99352,-0.10388
8.14,-0.03469,0.99349,-0.10371
8.16,-0.03441,0.99353,-0.10372
8.18,-0.03559,0.99314,-0.10326
8.20,-0.03566,0.99353,-0.10314
8.22,-0.03411,0.99379,-0.10358
8.24,-0.03301,0.99400,-0.10364
8.26,-0.03273,0.99403,-0.10365
8.28,-0.03288,0.99419,-0.10349
8.30,-0.03260,0.99417,-0.10377
8.32,-0.03227,0.99446,-0.10419
8.34,-0.03329,0.99432,-0.10397
8.36,-0.03574,0.99380,-0.10374
8.38,-0.03770,0.99371,-0.10359
8.40,-0.03774,0.99358,-0.10366
8.42,-0.03823,0.99354,-0.10374
8.44,-0.03965,0.99344,-0.10332
8.46,-0.04178,0.99287,-0.10309
8.48,-0.04342,0.99251,-0.10300
8.50,-0.04501,0.99208,-0.10289
8.52,-0.04595,0.99199,-0.10258
8.54,-0.04668,0.99186,-0.10246
8.56,-0.04750,0.99148,-0.10238
8.58,-0.04779,0.99141,-0.10263
8.60,-0.04697,0.99159,-0.10268
8.62,-0.04574,0.99232,-0.10301
8.64,-0.04435,0.99255,-0.10317
8.66,-0.04346,0.99255,-0.10328
8.68,-0.04199,0.99280,-0.10354
8.70,-0.04085,0.99293,-0.10358
8.72,-0.03941,0.99351,-0.10361
8.74,-0.03806,0.99380,-0.10388
8.76,-0.03660,0.99406,-0.10404
8.78,-0.03545,0.99439,-0.10412
8.80,-0.03401,0.99477,-0.10412
8.82,-0.03340,0.99475,-0.10413
8.84,-0.03357,0.99468,-0.10411
8.86,-0.03500,0.99433,-0.10393
8.88,-0.03717,0.99381,-0.10390
8.90,-0.03970,0.99329,-0.10348
8.92,-0.04099,0.99336,-0.10301
8.94,-0.04192,0.99347,-0.10273
8.96,-0.04227,0.99283,-0.10317
8.98,-0.04128,0.99345,-0.10348
9.00,-0.04066,0.99384,-0.10355
9.02,-0.04364,0.99305,-0.10281
9.04,-0.04712,0.99217,-0.10241
9.06,-0.04810,0.99210,-0.10247
9.08,-0.04667,0.99260,-0.10295
9.10,-0.04466,0.99321,-0.10319
9.12,-0.04323,0.99356,-0.10336
9.14,-0.04364,0.99336,-0.10341
9.16,-0.04488,0.99276,-0.10347
9.18,-0.04604,0.99320,-0.10297
9.20,-0.04734,0.99303,-0.10273
9.22,-0.04825,0.99258,-0.10282
9.24,-0.04694,0.99311,-0.10340
9.26,-0.04588,0.99342,-0.10338
9.28,-0.04678,0.99305,-0.10302
9.30,-0.04824,0.99283,-0.10259
9.32,-0.04894,0.99242,-0.10241
9.34,-0.04914,0.99244,-0.10232
9.36,-0.04853,0.99278,-0.10267
9.38,-0.04759,0.99290,-0.10280
9.40,-0.04734,0.99304,-0.10264
9.42,-0.04837,0.99247,-0.10253
9.44,-0.04914,0.99244,-0.10232
9.46,-0.04926,0.99249,-0.10233
9.48,-0.04865,0.99284,-0.10258
9.50,-0.04828,0.99292,-0.10251
9.52,-0.04836,0.99284,-0.10277
9.54,-0.04856,0.99305,-0.10280
9.56,-0.04832,0.99315,-0.10292
9.58,-0.04837,0.99283,-0.10286
9.60,-0.04865,0.99301,-0.10279
9.62,-0.04914,0.99278,-0.10275
9.64,-0.04914,0.99277,-0.10284
9.66,-0.04874,0.99274,-0.10293
9.68,-0.04849,0.99284,-0.10305
9.70,-0.04874,0.99274,-0.10293
9.72,-0.04869,0.99285,-0.10304
9.74,-0.04841,0.99291,-0.10287
9.76,-0.04877,0.99285,-0.10277
9.78,-0.04939,0.99267,-0.10272
9.80,-0.04979,0.99270,-0.10263
9.82,-0.04943,0.99274,-0.10283
9.84,-0.04873,0.99296,-0.10288
9.86,-0.04828,0.99324,-0.10312
9.88,-0.04876,0.99322,-0.10301
9.90,-0.04931,0.99283,-0.10321
9.92,-0.04943,0.99269,-0.10309
9.94,-0.04947,0.99296,-0.10323
9.96,-0.04931,0.99265,-0.10309
9.98,-0.04886,0.99289,-0.10351
10.00,-0.04890,0.99299,-0.10343
10.02,-0.04853,0.99323,-0.10366
10.04,-0.04873,0.99308,-0.10336
10.06,-0.04914,0.99309,-0.10335
10.08,-0.04931,0.99285,-0.10312
10.10,-0.04923,0.99265,-0.10328
10.12,-0.04890,0.99287,-0.10295
10.14,-0.04877,0.99302,-0.10298
10.16,-0.04870,0.99268,-0.10283
10.18,-0.04901,0.99313,-0.10290
10.20,-0.04893,0.99302,-0.10251
10.22,-0.04884,0.99305,-0.10261
10.24,-0.04884,0.99305,-0.10261
10.26,-0.04904,0.99308,-0.10243
10.28,-0.04897,0.99290,-0.10249
10.30,-0.04901,0.99297,-0.10260
10.32,-0.04913,0.99303,-0.10251
10.34,-0.04909,0.99298,-0.10232
10.36,-0.04884,0.99308,-0.10243
10.38,-0.04884,0.99309,-0.10234
10.40,-0.04857,0.99271,-0.10238
10.42,-0.04885,0.99283,-0.10267
10.44,-0.04890,0.99271,-0.10265
10.46,-0.04923,0.99236,-0.10258
10.48,-0.04871,0.99240,-0.10324
10.50,-0.04834,0.99248,-0.10317
10.52,-0.04846,0.99256,-0.10300
10.54,-0.04838,0.99260,-0.10301
10.56,-0.04867,0.99247,-0.10353
10.58,-0.04913,0.99217,-0.10347
10.60,-0.04912,0.99235,-0.10360
10.62,-0.04895,0.99284,-0.10359
10.64,-0.04879,0.99256,-0.10327
10.66,-0.04940,0.99239,-0.10314
10.68,-0.05013,0.99248,-0.10295
10.70,-0.05077,0.99244,-0.10256
10.72,-0.05040,0.99270,-0.10271
10.74,-0.04963,0.99274,-0.10282
10.76,-0.04959,0.99286,-0.10284
10.78,-0.04958,0.99292,-0.10248
10.80,-0.04970,0.99313,-0.10270
10.82,-0.05015,0.99287,-0.10237
10.84,-0.05081,0.99255,-0.10240
10.86,-0.05105,0.99261,-0.10259
10.88,-0.05011,0.99309,-0.10305
10.90,-0.04926,0.99318,-0.10309
10.92,-0.04885,0.99299,-0.10297
10.94,-0.04955,0.99256,-0.10289
10.96,-0.05052,0.99274,-0.10271
10.98,-0.05065,0.99257,-0.10277
11.00,-0.05078,0.99258,-0.10296
11.02,-0.05024,0.99273,-0.10299
11.04,-0.04999,0.99303,-0.10314
11.06,-0.04971,0.99306,-0.10315
11.08,-0.04962,0.99311,-0.10307
11.10,-0.05003,0.99277,-0.10273
11.12,-0.05032,0.99254,-0.10268
11.14,-0.05028,0.99281,-0.10301
11.16,-0.04947,0.99290,-0.10359
11.18,-0.04916,0.99246,-0.10343
11.20,-0.05069,0.99253,-0.10230
11.22,-0.04965,0.99314,-0.10215
11.24,-0.04869,0.99291,-0.10268
11.26,-0.04923,0.99250,-0.10297
11.28,-0.05016,0.99264,-0.10252
11.30,-0.05036,0.99266,-0.10243
11.32,-0.05097,0.99248,-0.10238
11.34,-0.05121,0.99275,-0.10252
11.36,-0.05129,0.99276,-0.10224
11.38,-0.05079,0.99319,-0.10232
11.40,-0.05017,0.99355,-0.10249
11.42,-0.04986,0.99338,-0.10320
11.44,-0.05204,0.99265,-0.10322
11.46,-0.05336,0.99285,-0.10249
11.48,-0.05266,0.99312,-0.10227
11.50,-0.05145,0.99298,-0.10292
11.52,-0.05169,0.99309,-0.10275
11.54,-0.05111,0.99340,-0.10254
11.56,-0.04998,0.99346,-0.10303
11.58,-0.04982,0.99350,-0.10322
11.60,-0.05141,0.99297,-0.10246
11.62,-0.05186,0.99285,-0.10252
11.64,-0.05031,0.99312,-0.10287
11.66,-0.04913,0.99318,-0.10281
11.68,-0.04909,0.99309,-0.10289
11.70,-0.04942,0.99294,-0.10286
11.72,-0.04962,0.99314,-0.10289
11.74,-0.04873,0.99311,-0.10318
11.76,-0.04805,0.99301,-0.10391
11.78,-0.04894,0.99290,-0.10323
11.80,-0.05004,0.99274,-0.10291
11.82,-0.05057,0.99262,-0.10269
11.84,-0.05126,0.99240,-0.10264
11.86,-0.05118,0.99244,-0.10265
11.88,-0.04913,0.99317,-0.10290
11.90,-0.04750,0.99329,-0.10314
11.92,-0.04714,0.99333,-0.10334
11.94,-0.04699,0.99282,-0.10317
11.96,-0.04613,0.99309,-0.10341
11.98,-0.04599,0.99318,-0.10260
12.00,-0.04640,0.99319,-0.10259
12.02,-0.04526,0.99331,-0.10273
12.04,-0.04379,0.99374,-0.10311
12.06,-0.04314,0.99364,-0.10310
12.08,-0.04379,0.99360,-0.10271
12.10,-0.04522,0.99312,-0.10214
12.12,-0.04587,0.99286,-0.10181
12.14,-0.04575,0.99263,-0.10168
12.16,-0.04574,0.99288,-0.10145
12.18,-0.04648,0.99257,-0.10120
12.20,-0.04704,0.99272,-0.10112
12.22,-0.04680,0.99266,-0.10093
12.24,-0.04732,0.99276,-0.10066
12.26,-0.04777,0.99267,-0.10054
12.28,-0.04719,0.99296,-0.10042
12.30,-0.04666,0.99308,-0.10063
12.32,-0.04706,0.99293,-0.10032
12.34,-0.04754,0.99332,-0.10029
12.36,-0.04740,0.99374,-0.09999
12.38,-0.04700,0.99371,-0.10009
12.40,-0.04709,0.99345,-0.10022
12.42,-0.04701,0.99345,-0.10041
12.44,-0.04665,0.99349,-0.10061
12.46,-0.04596,0.99344,-0.10108
12.48,-0.04527,0.99346,-0.10109
12.50,-0.04527,0.99344,-0.10118
12.52,-0.04415,0.99327,-0.10182
12.54,-0.04517,0.99236,-0.10321
12.56,-0.04699,0.99321,-0.10139
12.58,-0.04579,0.99321,-0.10242
12.60,-0.04630,0.99352,-0.10210
12.62,-0.04801,0.99339,-0.10167
12.64,-0.04873,0.99348,-0.10149
12.66,-0.04890,0.99342,-0.10138
12.68,-0.05159,0.99285,-0.10077
12.70,-0.05407,0.99247,-0.10020
12.72,-0.05354,0.99277,-0.10054
12.74,-0.05226,0.99332,-0.10029
12.76,-0.04986,0.99455,-0.09971
12.78,-0.04932,0.99298,-0.10158
12.80,-0.05237,0.99243,-0.10041
12.82,-0.05347,0.99218,-0.10062
12.84,-0.05155,0.99257,-0.10073
12.86,-0.05022,0.99240,-0.10128
12.88,-0.04945,0.99258,-0.10178
12.90,-0.04741,0.99328,-0.10222
12.92,-0.04611,0.99361,-0.10276
12.94,-0.04786,0.99316,-0.10228
12.96,-0.05100,0.99264,-0.10195
12.98,-0.05284,0.99216,-0.10137
13.00,-0.05250,0.99273,-0.10138
13.02,-0.05135,0.99303,-0.10164
13.04,-0.05078,0.99308,-0.10175
13.06,-0.05164,0.99295,-0.10189
13.08,-0.05253,0.99296,-0.10170
13.10,-0.05335,0.99283,-0.10138
13.12,-0.05368,0.99246,-0.10140
13.14,-0.05347,0.99266,-0.10144
13.16,-0.05343,0.99275,-0.10164
13.18,-0.05340,0.99248,-0.10150
13.20,-0.05320,0.99262,-0.10190
13.22,-0.05287,0.99257,-0.10190
13.24,-0.05295,0.99274,-0.10183
13.26,-0.05287,0.99274,-0.10211
13.28,-0.05312,0.99279,-0.10230
